session_id,priceable,power_kw,energy_kwh,real_slack_h,shift_h,baseline_gco2,optimal_gco2
2_39_79_379_2019-01-07 16:28:24.626512,True,2.071310222794177,14.307,0.021111111111111112,0.0,3733.0296436225713,3733.0296436225713
2_39_138_29_2019-01-07 16:30:47.221398,True,3.674447103877453,10.661,6.1125,0.0,2646.5722399063593,2646.5722399063593
2_39_129_17_2019-01-07 16:31:18.133044,True,5.077029127525849,41.736,0.0016666666666666668,0.0,11036.40557492488,11036.40557492488
2_39_79_380_2019-01-07 16:34:24.552497,True,3.981661891117478,21.616,0.0022222222222222222,0.0,5548.329605268819,5548.329605268819
2_39_131_30_2019-01-07 16:37:58.016519,True,3.0800441014332964,13.968,0.03305555555555555,0.0,3543.6196625848243,3543.6196625848243
2_39_79_383_2019-01-07 16:57:28.977434,True,4.278565140845071,43.204,0.0025,0.0,11659.915833704192,11659.915833704192
2_39_90_440_2019-01-07 17:00:25.450944,True,0.5685930408472012,2.61,0.024722222222222222,0.0,669.2317097594827,669.2317097594827
2_39_89_25_2019-01-07 17:15:16.680788,True,2.056923568915894,5.36,5.7363888888888885,0.0,1348.6503091835366,1348.6503091835366
2_39_92_436_2019-01-07 17:21:19.465064,True,4.554274707364054,25.614,2.5705555555555555,0.0,6722.254605853241,6722.254605853241
2_39_78_367_2019-01-07 17:47:45.387773,True,1.7268240534521158,16.153,0.26805555555555555,0.0,4401.522960028966,4401.522960028966
2_39_125_21_2019-01-07 18:10:23.686280,True,4.618358092259578,8.204,4.51,0.0,2100.8580311414344,2100.8580311414344
2_39_128_562_2019-01-07 18:19:58.889585,True,4.451309669522644,15.153,3.8880555555555554,0.0,3967.1577190651096,3967.1577190651096
2_39_78_366_2019-01-07 18:28:27.913006,True,1.6676554118018303,4.404,4.736666666666666,0.0,1142.6785310222344,1142.6785310222344
2_39_79_378_2019-01-07 18:55:41.347675,True,1.1769362294978152,10.325,0.0008333333333333334,0.0,2845.9128430933783,2845.9128430933783
2_39_78_361_2019-01-07 19:33:22.760713,True,1.2510174598588353,8.419,0.0011111111111111111,0.0,2326.7921179725367,2326.7921179725367
2_39_91_441_2019-01-07 19:52:52.102209,True,4.896121613720522,20.935,1.5386111111111112,0.0,5724.268135376308,5724.268135376308
2_39_90_26_2019-01-07 20:03:18.208621,True,2.6777537304932224,6.53,3.618888888888889,0.0,1764.0686618019292,1764.0686618019292
